NOM_BORNE_RECHARGE,NOM_PARC,ADRESSE,VILLE,PROVINCE,NIVEAU_RECHARGE,MODE_TARIFICATION,TYPE_EMPLACEMENT,LONGITUDE,LATITUDE
"CEA-10190","1019 | BSR | AC |  10905 rue Basile-Routhier : Parc Basile-Routhier","10905A rue Basile Routhier Montréal QC H2C 3H5","Montréal","QC","Niveau 2","par heure",,-73.671649,45.557084
"CEA-10163","1027 | BBHR | AC | 8800 Christophe-Colomb - Complexe Claude Robillard","8800 av Christophe-Colomb Montréal QC H2M 2E7","Montréal","QC","Niveau 2","par heure","sur rue",-73.633158,45.553045
"CEA-10927","1027 | BBHR | AC | 8800 Christophe-Colomb - Complexe Claude Robillard","8800 av Christophe-Colomb Montréal QC H2M 2E7","Montréal","QC","Niveau 2","par heure","sur rue",-73.633158,45.553045
"CEA-12294","1027 | BBHR | AC | 8800 Christophe-Colomb - Complexe Claude Robillard","8800 av Christophe-Colomb Montréal QC H2M 2E7","Montréal","QC","Niveau 2","par heure","sur rue",-73.633158,45.553045
"CEA-12309","1027 | BBHR | AC | 8800 Christophe-Colomb - Complexe Claude Robillard","8800 av Christophe-Colomb Montréal QC H2M 2E7","Montréal","QC","Niveau 2","par heure","sur rue",-73.633158,45.553045
"CEA-10149","1028 | BHR | AC | 12373 Notre-Dame-Des-Anges - Parc Raimbault","12373 Notre-Dame des anges - Parc Raimbault Montréal QC H4J 2C3","Montréal","QC","Niveau 2","par heure","sur rue",-73.717871,45.53558
"CEA-10688","10016 | BBHR | ANJ | 7051 av. de l'Alsace","7051 Avenue de l'Alsace Montréal QC H1J 2X8","Montréal","QC","Niveau 2","par heure","sur rue",-73.582876,45.603716
"CEA-10703","10016 | BBHR | ANJ | 7051 av. de l'Alsace","7051 Avenue de l'Alsace Montréal QC H1J 2X8","Montréal","QC","Niveau 2","par heure","sur rue",-73.582876,45.603716
"CEA-14944","10017 | BSR | ANJ | 7460 De la Nantaise","7460 Av. de la Nantaise Montréal QC H1M 1B5","Montréal","QC","Niveau 2","par heure",,-73.552876,45.59775
"CEA-14946","10017 | BSR | ANJ | 7460 De la Nantaise","7460 Av. de la Nantaise Montréal QC H1M 1B5","Montréal","QC","Niveau 2","par heure",,-73.552876,45.59775
"CEA-15306","10017 | BSR | ANJ | 7460 De la Nantaise","7460 Av. de la Nantaise Montréal QC H1M 1B5","Montréal","QC","Niveau 2","par heure",,-73.552876,45.59775
"CEA-15309","10017 | BSR | ANJ | 7460 De la Nantaise","7460 Av. de la Nantaise Montréal QC H1M 1B5","Montréal","QC","Niveau 2","par heure",,-73.552876,45.59775
"CEA-15222","10019 | BSR | ANJ | 7775 place Blain","7775 Place de Blain Montréal QC H1K 3T2","Montréal","QC","Niveau 2","par heure",,-73.561428,45.607902
"CEA-15225","10019 | BSR | ANJ | 7775 place Blain","7775 Place de Blain Montréal QC H1K 3T2","Montréal","QC","Niveau 2","par heure",,-73.561428,45.607902
"CEA-10755","1002 | BSR | AC | 1100 Fleury","1100 rue Fleury Montréal QC H2C 1P9","Montréal","QC","Niveau 2","par heure","sur rue",-73.658655,45.558804
"CEA-10750","1002 | BSR | AC | 1100 Fleury","1100 rue Fleury Montréal QC H2C 1P9","Montréal","QC","Niveau 2","par heure","sur rue",-73.658655,45.558804
"CEA-10583","1003 | BSR | AC | 9505 Basile-Routhier","9505 Rue Basile-Routhier Montréal QC H2M 1T9","Montréal","QC","Niveau 2","par heure","sur rue",-73.6511,45.55098
"CEA-10611","1003 | BSR | AC | 9505 Basile-Routhier","9505 Rue Basile-Routhier Montréal QC H2M 1T9","Montréal","QC","Niveau 2","par heure","sur rue",-73.6511,45.55098
"CEA-10902","1004 | BSR | AC | 54 Gouin","54 Boul. Gouin Est Montréal QC H3L 1A6","Montréal","QC","Niveau 2","par heure","sur rue",-73.673625,45.552297
"CEA-10901","1004 | BSR | AC | 54 Gouin","54 Boul. Gouin Est Montréal QC H3L 1A6","Montréal","QC","Niveau 2","par heure","sur rue",-73.673625,45.552297
"CEA-11014","1005 | BSR | AC | 1530 Fleury","1530 rue Fleury Montréal QC H2C 2Y6","Montréal","QC","Niveau 2","par heure","sur rue",-73.656227,45.562906
"CEA-10797","1005 | BSR | AC | 1530 Fleury","1530 rue Fleury Montréal QC H2C 2Y6","Montréal","QC","Niveau 2","par heure","sur rue",-73.656227,45.562906
"CEA-10596","1006 | BSR | AC | 1780 Fleury","1780 Fleury Montréal QC H2C 1T4","Montréal","QC","Niveau 2","par heure","sur rue",-73.653615,45.567582
"CEA-10532","1006 | BSR | AC | 1780 Fleury","1780 Fleury Montréal QC H2C 1T4","Montréal","QC","Niveau 2","par heure","sur rue",-73.653615,45.567582
"CEA-10945","1007 | BSR | AC | 11988 Obrien","11988 Boulevard O'Brien Montréal QC H4J 1Y9","Montréal","QC","Niveau 2","par heure","sur rue",-73.706766,45.53217
"CEA-10934","1007 | BSR | AC | 11988 Obrien","11988 Boulevard O'Brien Montréal QC H4J 1Y9","Montréal","QC","Niveau 2","par heure","sur rue",-73.706766,45.53217
"CEA-10941","1008 | BSR | AC | 990 Salaberry","990 Salaberry Montréal QC H3L 3L6","Montréal","QC","Niveau 2","par heure","sur rue",-73.692268,45.545777
"CEA-10930","1008 | BSR | AC | 990 Salaberry","990 Salaberry Montréal QC H3L 3L6","Montréal","QC","Niveau 2","par heure","sur rue",-73.692268,45.545777
"CEA-12966","10080 | BHR  | ANJ | 8621 Avenue Chaumont (côté Nord)","8621 Avenue Chaumont Montréal QC H1K 1N3","Montréal","QC","Niveau 2","par heure",,-73.54809,45.610535
"CEA-12592","10081 | BBHR | ANJ | 7800 Métropolitain Est : Centre communautaire","7800 boul. Métropolitain Est Montréal QC H1K 1A1","Montréal","QC","Niveau 2","par heure",,-73.563324,45.606483
"CEA-10378","1009 | BSR | AC | 205 Chabanel","205 Rue Chabanel O Montréal QC H2N 1G3","Montréal","QC","Niveau 2","par heure","sur rue",-73.653312,45.540928
"CEA-10577","1009 | BSR | AC | 205 Chabanel","205 Rue Chabanel O Montréal QC H2N 1G3","Montréal","QC","Niveau 2","par heure","sur rue",-73.653312,45.540928
"CEA-10657","1010 | BSR | AC | 9699 Foucher","9699 Foucher Montréal QC H2C 2C8","Montréal","QC","Niveau 2","par heure",,-73.65481,45.552676
"CEA-10603","1010 | BSR | AC | 9699 Foucher","9699 Foucher Montréal QC H2C 2C8","Montréal","QC","Niveau 2","par heure",,-73.65481,45.552676
"CEA-10859","1011 | BSR | AC | 55 Cremazie O","55 boul. Crémazie O Montréal QC H2N 1L3","Montréal","QC","Niveau 2","par heure","sur rue",-73.642792,45.541031
"CEA-10845","1011 | BSR | AC | 55 Cremazie O","55 boul. Crémazie O Montréal QC H2N 1L3","Montréal","QC","Niveau 2","par heure","sur rue",-73.642792,45.541031
"CEA-11040","1013 | BSR | AC | 12505 Lachapelle","12505 Lachapelle Montréal QC H4J 2N2","Montréal","QC","Niveau 2","par heure","sur rue",-73.72589,45.531689
"CEA-11470","1013 | BSR | AC | 12505 Lachapelle","12505 Lachapelle Montréal QC H4J 2N2","Montréal","QC","Niveau 2","par heure","sur rue",-73.72589,45.531689
"CEA-11300","1015 | BSR | AC | 10305 St-Laurent","10305 St-Laurent Montréal QC H3L 2M3","Montréal","QC","Niveau 2","par heure","sur rue",-73.664778,45.548862
"CEA-11306","1015 | BSR | AC | 10305 St-Laurent","10305 St-Laurent Montréal QC H3L 2M3","Montréal","QC","Niveau 2","par heure","sur rue",-73.664778,45.548862
"CEA-14549","1015 | BSR | AC | 10305 St-Laurent","10305 St-Laurent Montréal QC H3L 2M3","Montréal","QC","Niveau 2","par heure",,-73.664778,45.548862
"CEA-14547","1015 | BSR | AC | 10305 St-Laurent","10305 St-Laurent Montréal QC H3L 2M3","Montréal","QC","Niveau 2","par heure",,-73.664778,45.548862
"CEA-11188","1016 | BSR | AC | 10625 Francis","10625 Rue Francis Montréal QC H2C 3A5","Montréal","QC","Niveau 2","par heure","sur rue",-73.660453,45.565295
"CEA-11303","1016 | BSR | AC | 10625 Francis","10625 Rue Francis Montréal QC H2C 3A5","Montréal","QC","Niveau 2","par heure","sur rue",-73.660453,45.565295
"CEA-11144","1017 | BSR | AC | 1545 Henri-Bourassa","1545 Henri Bourassa Montréal QC H3M 1X7","Montréal","QC","Niveau 2","par heure",,-73.678763,45.538203
"CEA-11296","1017 | BSR | AC | 1545 Henri-Bourassa","1545 Henri Bourassa Montréal QC H3M 1X7","Montréal","QC","Niveau 2","par heure",,-73.678763,45.538203
"CEA-12911","1017 | BSR | AC | 1545 Henri-Bourassa","1545 Henri Bourassa Montréal QC H3M 1X7","Montréal","QC","Niveau 2","par heure",,-73.678763,45.538203
"CEA-12872","1017 | BSR | AC | 1545 Henri-Bourassa","1545 Henri Bourassa Montréal QC H3M 1X7","Montréal","QC","Niveau 2","par heure",,-73.678763,45.538203
"CEA-11005","1018 | BSR | AC | 9335 St-Hubert","9335 rue St Hubert Montréal QC H2M 1Y7","Montréal","QC","Niveau 2","par heure","sur rue",-73.646632,45.552497
"CEA-11297","1018 | BSR | AC | 9335 St-Hubert","9335 rue St Hubert Montréal QC H2M 1Y7","Montréal","QC","Niveau 2","par heure","sur rue",-73.646632,45.552497
"CEA-10273","1019 | BSR | AC |  10905 rue Basile-Routhier : Parc Basile-Routhier","10905A rue Basile Routhier Montréal QC H2C 3H5","Montréal","QC","Niveau 2","par heure","sur rue",-73.671649,45.557084
"CEA-10258","1019 | BSR | AC |  10905 rue Basile-Routhier : Parc Basile-Routhier","10905A rue Basile Routhier Montréal QC H2C 3H5","Montréal","QC","Niveau 2","par heure","sur rue",-73.671649,45.557084
"CEA-11452","10001 | BSR | ANJ | 7070 Jean-Talon","7070 rue Jean-Talon Est Montréal QC H1M 3T4","Montréal","QC","Niveau 2","par heure","sur rue",-73.56931,45.597136
"CEA-11314","10001 | BSR | ANJ | 7070 Jean-Talon","7070 rue Jean-Talon Est Montréal QC H1M 3T4","Montréal","QC","Niveau 2","par heure","sur rue",-73.56931,45.597136
"CEA-11908","10002 | BSR | ANJ | 7111 Marie-Gérin Lajoie","7111 Marie-G Lajoie Montréal QC H1J 2X8","Montréal","QC","Niveau 2","par heure",,-73.585155,45.605348
"CEA-11904","10002 | BSR | ANJ | 7111 Marie-Gérin Lajoie","7111 Marie-G Lajoie Montréal QC H1J 2X8","Montréal","QC","Niveau 2","par heure",,-73.585155,45.605348
"CEA-12657","10003 | BSR | ANJ | 7198  Imp. de la Boulance","7198  Imp. de la Boulance Montréal QC H1J 2W1","Montréal","QC","Niveau 2","par heure",,-73.5891,45.609196
"CEA-12643","10003 | BSR | ANJ | 7198  Imp. de la Boulance","7198  Imp. de la Boulance Montréal QC H1J 2W1","Montréal","QC","Niveau 2","par heure",,-73.5891,45.609196
"CEA-11323","10004 | BHR | ANJ | 7501 Rondeau","7501 Rondeau Montréal QC H1K 2P3","Montréal","QC","Niveau 2","par heure",,-73.55157,45.616346
"CEA-11156","10004 | BHR | ANJ | 7501 Rondeau","7501 Rondeau Montréal QC H1K 2P3","Montréal","QC","Niveau 2","par heure",,-73.55157,45.616346
"CEA-13322","10005 | BSR | ANJ | 8310 Boulevard Châteauneuf","8310 Boulevard Châteauneuf Montréal QC H1K 1E5","Montréal","QC","Niveau 2","par heure",,-73.557261,45.609787
"CEA-13332","10005 | BSR | ANJ | 8310 Boulevard Châteauneuf","8310 Boulevard Châteauneuf Montréal QC H1K 1E5","Montréal","QC","Niveau 2","par heure",,-73.557261,45.609787
"CEA-13333","10005 | BSR | ANJ | 8310 Boulevard Châteauneuf","8310 Boulevard Châteauneuf Montréal QC H1K 1E5","Montréal","QC","Niveau 2","par heure",,-73.557261,45.609787
"CEA-13325","10005 | BSR | ANJ | 8310 Boulevard Châteauneuf","8310 Boulevard Châteauneuf Montréal QC H1K 1E5","Montréal","QC","Niveau 2","par heure",,-73.557261,45.609787
"CEA-10038","10006 | BBHR | ANJ | 7171 Bombardier - Atelier municipal","7171 Rue Bombardier Montréal QC H1J 2E9","Montréal","QC","Niveau 2","par heure","sur rue",-73.586515,45.607482
"CEA-10134","10006 | BBHR | ANJ | 7171 Bombardier - Atelier municipal","7171 Rue Bombardier Montréal QC H1J 2E9","Montréal","QC","Niveau 2","par heure","sur rue",-73.586515,45.607482
"CEA-10157","10006 | BBHR | ANJ | 7171 Bombardier - Atelier municipal","7171 Rue Bombardier Montréal QC H1J 2E9","Montréal","QC","Niveau 2","par heure",,-73.586515,45.607482
"CEA-10174","10006 | BBHR | ANJ | 7171 Bombardier - Atelier municipal","7171 Rue Bombardier Montréal QC H1J 2E9","Montréal","QC","Niveau 2","par heure","sur rue",-73.586515,45.607482
"CEA-10171","10006 | BBHR | ANJ | 7171 Bombardier - Atelier municipal","7171 Rue Bombardier Montréal QC H1J 2E9","Montréal","QC","Niveau 2","par heure",,-73.586515,45.607482
"CEA-10177","10006 | BBHR | ANJ | 7171 Bombardier - Atelier municipal","7171 Rue Bombardier Montréal QC H1J 2E9","Montréal","QC","Niveau 2","par heure","sur rue",-73.586515,45.607482
"CEA-10178","10006 | BBHR | ANJ | 7171 Bombardier - Atelier municipal","7171 Rue Bombardier Montréal QC H1J 2E9","Montréal","QC","Niveau 2","par heure","sur rue",-73.586515,45.607482
"CEA-10184","10006 | BBHR | ANJ | 7171 Bombardier - Atelier municipal","7171 Rue Bombardier Montréal QC H1J 2E9","Montréal","QC","Niveau 2","par heure","sur rue",-73.586515,45.607482
"CEA-12059","10007 | BSR | ANJ | 8755 4e Croissant","8755 4e Croissant Montréal QC H1J 1M3","Montréal","QC","Niveau 2","par heure","sur rue",-73.573054,45.621933
"CEA-12053","10007 | BSR | ANJ | 8755 4e Croissant","8755 4e Croissant Montréal QC H1J 1M3","Montréal","QC","Niveau 2","par heure","sur rue",-73.573054,45.621933
"CEA-12027","10008 | BSR | ANJ | 8261 Haut-Anjou","8261 Haut-Anjou Montréal QC H1J 1T8","Montréal","QC","Niveau 2","par heure","sur rue",-73.56918,45.603003
"CEA-12056","10008 | BSR | ANJ | 8261 Haut-Anjou","8261 Haut-Anjou Montréal QC H1J 1T8","Montréal","QC","Niveau 2","par heure","sur rue",-73.56918,45.603003
"CEA-10172","10009 | BBHR | ANJ | 8200 ave Chénier - Aréna Chénier","8200 ave Chénier Montréal QC H1J 2E9","Montréal","QC","Niveau 2","par heure",,-73.54166,45.60148
"CEA-10043","10009 | BBHR | ANJ | 8200 ave Chénier - Aréna Chénier","8200 ave Chénier Montréal QC H1J 2E9","Montréal","QC","Niveau 2","par heure",,-73.54166,45.60148
"CEA-10148","10009 | BBHR | ANJ | 8200 ave Chénier - Aréna Chénier","8200 ave Chénier Montréal QC H1J 2E9","Montréal","QC","Niveau 2","par heure",,-73.54166,45.60148
"CEA-10144","10009 | BBHR | ANJ | 8200 ave Chénier - Aréna Chénier","8200 ave Chénier Montréal QC H1J 2E9","Montréal","QC","Niveau 2","par heure",,-73.54166,45.60148
"CEA-10928","1001 | BSR | AC | 10719 D'auteuil","10719 Avenue d'Auteuil Montréal QC H3L 2K7","Montréal","QC","Niveau 2","par heure","sur rue",-73.669799,45.553276
"CEA-10942","1001 | BSR | AC | 10719 D'auteuil","10719 Avenue d'Auteuil Montréal QC H3L 2K7","Montréal","QC","Niveau 2","par heure","sur rue",-73.669799,45.553276
"CEA-10183","10010 | BBHR | ANJ | 7701 Louis-H. La Fontaine","7701 Louis-H. La Fontaine Montréal QC H1K 4B9","Montréal","QC","Niveau 2","par heure","sur rue",-73.557643,45.601665
"CEA-10162","10010 | BBHR | ANJ | 7701 Louis-H. La Fontaine","7701 Louis-H. La Fontaine Montréal QC H1K 4B9","Montréal","QC","Niveau 2","par heure","sur rue",-73.557643,45.601665
"CEA-12993","10011 | BSR | ANJ | 6619 Merriam","6619 Merriam Montréal QC H1K 1P1","Montréal","QC","Niveau 2","par heure","sur rue",-73.551504,45.604093
"CEA-13088","10011 | BSR | ANJ | 6619 Merriam","6619 Merriam Montréal QC H1K 1P1","Montréal","QC","Niveau 2","par heure","sur rue",-73.551504,45.604093
"CEA-13040","10012 | BHR | ANJ | 7743 Rheaume","7743 Rheaume Montréal QC H1K 2S2","Montréal","QC","Niveau 2","par heure",,-73.553482,45.615923
"CEA-12986","10012 | BHR | ANJ | 7743 Rheaume","7743 Rheaume Montréal QC H1K 2S2","Montréal","QC","Niveau 2","par heure",,-73.553482,45.615923
"CEA-13049","10013 | BSR | ANJ | 8759 Des Sciences","8759 Des Sciences Montréal QC H1J 1H8","Montréal","QC","Niveau 2","par heure",,-73.559252,45.617913
"CEA-13036","10013 | BSR | ANJ | 8759 Des Sciences","8759 Des Sciences Montréal QC H1J 1H8","Montréal","QC","Niveau 2","par heure",,-73.559252,45.617913
"CEA-12924","10014 | BSR | ANJ | 6992 Place Antioche","6992 Place Antioche Montréal QC H1M 2V5","Montréal","QC","Niveau 2","par heure","sur rue",-73.559549,45.595635
"CEA-12927","10014 | BSR | ANJ | 6992 Place Antioche","6992 Place Antioche Montréal QC H1M 2V5","Montréal","QC","Niveau 2","par heure","sur rue",-73.559549,45.595635
"CEA-13345","10015 | BSR | ANJ | 7046 Avenue Rhéaume","7046 Avenue Rhéaume Montréal QC H1K 2S3","Montréal","QC","Niveau 2","par heure",,-73.547943,45.613289
"CEA-13351","10015 | BSR | ANJ | 7046 Avenue Rhéaume","7046 Avenue Rhéaume Montréal QC H1K 2S3","Montréal","QC","Niveau 2","par heure",,-73.547943,45.613289
"CEA-13353","10015 | BSR | ANJ | 7046 Avenue Rhéaume","7046 Avenue Rhéaume Montréal QC H1K 2S3","Montréal","QC","Niveau 2","par heure",,-73.547943,45.613289
"CEA-13352","10015 | BSR | ANJ | 7046 Avenue Rhéaume","7046 Avenue Rhéaume Montréal QC H1K 2S3","Montréal","QC","Niveau 2","par heure",,-73.547943,45.613289
"CEA-10146","1028 | BHR | AC | 12373 Notre-Dame-Des-Anges - Parc Raimbault","12373 Notre-Dame des anges - Parc Raimbault Montréal QC H4J 2C3","Montréal","QC","Niveau 2","par heure","sur rue",-73.717871,45.53558
"CEA-12524","1029 | BSR | AC | 10265 St-Hubert","10265 St-Hubert Montréal QC H2C 2H6","Montréal","QC","Niveau 2","par heure","sur rue",-73.659595,45.556288
"CEA-12540","1029 | BSR | AC | 10265 St-Hubert","10265 St-Hubert Montréal QC H2C 2H6","Montréal","QC","Niveau 2","par heure","sur rue",-73.659595,45.556288
"CEA-12433","1030 | BSR | AC | 10050 Place de L'Acadie","10050 Place de L'Acadie Montréal QC H4N 0C9","Montréal","QC","Niveau 2","par heure",,-73.679602,45.533339
"CEA-12434","1030 | BSR | AC | 10050 Place de L'Acadie","10050 Place de L'Acadie Montréal QC H4N 0C9","Montréal","QC","Niveau 2","par heure",,-73.679602,45.533339
"CEA-12906","1031 | BSR | AC | 5 Chabanel","5 Chabanel Montréal QC H2N 1N3","Montréal","QC","Niveau 2","par heure","sur rue",-73.651406,45.544194
"CEA-12907","1031 | BSR | AC | 5 Chabanel","5 Chabanel Montréal QC H2N 1N3","Montréal","QC","Niveau 2","par heure","sur rue",-73.651406,45.544194
"CEA-12908","1031 | BSR | AC | 5 Chabanel","5 Chabanel Montréal QC H2N 1N3","Montréal","QC","Niveau 2","par heure",,-73.651406,45.544194
"CEA-12910","1031 | BSR | AC | 5 Chabanel","5 Chabanel Montréal QC H2N 1N3","Montréal","QC","Niveau 2","par heure",,-73.651406,45.544194
"CEA-13067","1032 | BSR | AC | 10374 Sackville","10374 Sackville Montréal QC H2B 2W6","Montréal","QC","Niveau 2","par heure","sur rue",-73.647587,45.577554
"CEA-13056","1032 | BSR | AC | 10374 Sackville","10374 Sackville Montréal QC H2B 2W6","Montréal","QC","Niveau 2","par heure","sur rue",-73.647587,45.577554
"CEA-12857","1033 | BSR | AC | 10725A St-Hubert","10725A St-Hubert Montréal QC H2C 2J1","Montréal","QC","Niveau 2","par heure","sur rue",-73.667787,45.55862
"CEA-12842","1033 | BSR | AC | 10725A St-Hubert","10725A St-Hubert Montréal QC H2C 2J1","Montréal","QC","Niveau 2","par heure","sur rue",-73.667787,45.55862
"CEA-13063","1034 | BSR | AC | 10760 Saint-Charles","10760 Saint-Charles Montréal QC H2C 1B1","Montréal","QC","Niveau 2","par heure",,-73.667026,45.559919
"CEA-12921","1034 | BSR | AC | 10760 Saint-Charles","10760 Saint-Charles Montréal QC H2C 1B1","Montréal","QC","Niveau 2","par heure",,-73.667026,45.559919
"CEA-12984","1035 | BSR | AC | 300 Chabanel","300 Chabanel Montréal QC H2N 2L2","Montréal","QC","Niveau 2","par heure",,-73.653606,45.539904
"CEA-12858","1035 | BSR | AC | 300 Chabanel","300 Chabanel Montréal QC H2N 2L2","Montréal","QC","Niveau 2","par heure",,-73.653606,45.539904
"CEA-13515","1036 | BSR | AC | 2195 Prieur","2195 Prieur Montréal QC H2B 1N4","Montréal","QC","Niveau 2","par heure","sur rue",-73.653045,45.573573
"CEA-13781","1036 | BSR | AC | 2195 Prieur","2195 Prieur Montréal QC H2B 1N4","Montréal","QC","Niveau 2","par heure","sur rue",-73.653045,45.573573
"CEA-13841","1037 | BSR | AC | 12022 Taylor","12022 Boulevard Taylor Montréal QC H3M 2J8","Montréal","QC","Niveau 2","par heure",,-73.698055,45.539144
"CEA-13842","1037 | BSR | AC | 12022 Taylor","12022 Boulevard Taylor Montréal QC H3M 2J8","Montréal","QC","Niveau 2","par heure",,-73.698055,45.539144
"CEA-13849","1037 | BSR | AC | 12022 Taylor","12022 Boulevard Taylor Montréal QC H3M 2J8","Montréal","QC","Niveau 2","par heure",,-73.698055,45.539144
"CEA-13843","1037 | BSR | AC | 12022 Taylor","12022 Boulevard Taylor Montréal QC H3M 2J8","Montréal","QC","Niveau 2","par heure",,-73.698055,45.539144
"CEA-13413","1038 | BSR | AC | 12348 rue Ranger","12348 rue Ranger Montréal QC H4J 2L5","Montréal","QC","Niveau 2","par heure",,-73.720946,45.532201
"CEA-11476","14014 | BSR | SLA | 4205 Ernest-Hemmingway","4205 Ernest-Hemmingway Montréal QC H4R 0C4","Montréal","QC","Niveau 2","par heure","sur rue",-73.724947,45.502385
"CEA-11137","14015 | BSR | SLA | 1295 Basile Moreau","1295 Basile Moreau Montréal QC H4L 4A1","Montréal","QC","Niveau 2","par heure",,-73.678216,45.516107
"CEA-11220","14015 | BSR | SLA | 1295 Basile Moreau","1295 Basile Moreau Montréal QC H4L 4A1","Montréal","QC","Niveau 2","par heure",,-73.678216,45.516107
"CEA-11472","14016 | BSR | SLA | 1505 Cardinal","1505 Cardinal Montréal QC H4L 3G3","Montréal","QC","Niveau 2","par heure","sur rue",-73.690142,45.516092
"CEA-11474","14016 | BSR | SLA | 1505 Cardinal","1505 Cardinal Montréal QC H4L 3G3","Montréal","QC","Niveau 2","par heure","sur rue",-73.690142,45.516092
"CEA-11438","14017 | BSR | SLA | 1505 Decelles","1505 Rue Decelles Saint-Laurent QC H4L 2E1","Saint-Laurent","QC","Niveau 2","par heure","sur rue",-73.68071,45.512711
"CEA-11138","14017 | BSR | SLA | 1505 Decelles","1505 Rue Decelles Saint-Laurent QC H4L 2E1","Saint-Laurent","QC","Niveau 2","par heure","sur rue",-73.68071,45.512711
"CEA-11810","14018 | BSR | SLA | 6405 Abrams","6405 Abrams Montréal QC H4S 1Y2","Montréal","QC","Niveau 2","par heure","sur rue",-73.751973,45.488343
"CEA-11964","14018 | BSR | SLA | 6405 Abrams","6405 Abrams Montréal QC H4S 1Y2","Montréal","QC","Niveau 2","par heure","sur rue",-73.751973,45.488343
"CEA-11927","14019 | BSR | SLA | 3200 Guenette","3200 Guenette Montréal QC H4S 2G5","Montréal","QC","Niveau 2","par heure","sur rue",-73.739193,45.506815
"CEA-11840","14019 | BSR | SLA | 3200 Guenette","3200 Guenette Montréal QC H4S 2G5","Montréal","QC","Niveau 2","par heure",,-73.739193,45.506815
"CEA-12299","14020 | BSR | SLA | 5007 Bois Franc","5007 Bois Franc Montréal QC H4S 1T2","Montréal","QC","Niveau 2","par heure","sur rue",-73.743105,45.495362
"CEA-12303","14020 | BSR | SLA | 5007 Bois Franc","5007 Bois Franc Montréal QC H4S 1T2","Montréal","QC","Niveau 2","par heure","sur rue",-73.743105,45.495362
"CEA-12422","14021 | BSR | SLA | 140 Place Benoit","140 Place Benoit Montréal QC H4N 2H4","Montréal","QC","Niveau 2","par heure","sur rue",-73.662761,45.516229
"CEA-12428","14021 | BSR | SLA | 140 Place Benoit","140 Place Benoit Montréal QC H4N 2H4","Montréal","QC","Niveau 2","par heure","sur rue",-73.662761,45.516229
