Topic,Characteristic,Note,Total,Men+,Women+,Total.1,Men+.1,Women+.1,Total.2,Men+.2,Women+.2,Total.3,Men+.3,Women+.3,Total.4,Men+.4,Women+.4,Total.5,Men+.5,Women+.5,Total.6,Men+.6,Women+.6,Total.7,Men+.7,Women+.7,Total.8,Men+.8,Women+.8,Total.9,Men+.9,Women+.9,Total.10,Men+.10,Women+.10,Total.11,Men+.11,Women+.11
Age characteristics,  65 years and over,,172150.0,77700.0,94455.0,16.9,15.7,18.1,476985.0,207995.0,268990.0,17.1,15.4,18.6,125020.0,53665.0,71355.0,22.8,20.1,25.3,295475.0,126635.0,168845.0,16.8,14.6,18.9,112720.0,51555.0,61160.0,17.0,15.9,18.1,21350.0,9065.0,12285.0,23.2,20.8,25.4
Age characteristics,    65 to 69 years,,52355.0,24910.0,27445.0,5.1,5.0,5.3,141550.0,65525.0,76025.0,5.1,4.9,5.3,36000.0,16600.0,19405.0,6.6,6.2,6.9,85025.0,40115.0,44915.0,4.8,4.6,5.0,34590.0,16420.0,18170.0,5.2,5.1,5.4,6020.0,2675.0,3345.0,6.6,6.1,6.9
Age characteristics,    70 to 74 years,,45375.0,21150.0,24230.0,4.5,4.3,4.6,118910.0,53985.0,64930.0,4.3,4.0,4.5,32360.0,14690.0,17670.0,5.9,5.5,6.3,72300.0,32855.0,39445.0,4.1,3.8,4.4,30055.0,14175.0,15880.0,4.5,4.4,4.7,5905.0,2675.0,3230.0,6.4,6.1,6.7
Age characteristics,    75 to 79 years,,30940.0,14100.0,16840.0,3.0,2.8,3.2,81880.0,36035.0,45850.0,2.9,2.7,3.2,24930.0,10915.0,14015.0,4.5,4.1,5.0,52720.0,22645.0,30075.0,3.0,2.6,3.4,18520.0,8495.0,10025.0,2.8,2.6,3.0,3705.0,1685.0,2015.0,4.0,3.9,4.2
Age characteristics,    80 to 84 years,,21080.0,9190.0,11890.0,2.1,1.9,2.3,62790.0,26000.0,36785.0,2.2,1.9,2.5,15680.0,6360.0,9325.0,2.9,2.4,3.3,39395.0,15780.0,23610.0,2.2,1.8,2.6,13865.0,6080.0,7785.0,2.1,1.9,2.3,2410.0,990.0,1430.0,2.6,2.3,3.0
Age characteristics,    85 years and over,,22395.0,8350.0,14050.0,2.2,1.7,2.7,71855.0,26455.0,45400.0,2.6,2.0,3.1,16050.0,5110.0,10940.0,2.9,1.9,3.9,46035.0,15250.0,30790.0,2.6,1.8,3.4,15695.0,6385.0,9310.0,2.4,2.0,2.8,3320.0,1045.0,2270.0,3.6,2.4,4.7
Age characteristics,      85 to 89 years,,13385.0,5445.0,7940.0,1.3,1.1,1.5,42430.0,16995.0,25435.0,1.5,1.3,1.8,9810.0,3425.0,6380.0,1.8,1.3,2.3,27835.0,10185.0,17655.0,1.6,1.2,2.0,9425.0,4055.0,5370.0,1.4,1.2,1.6,1675.0,605.0,1065.0,1.8,1.4,2.2
Age characteristics,      90 to 94 years,,6775.0,2305.0,4470.0,0.7,0.5,0.9,22155.0,7545.0,14610.0,0.8,0.6,1.0,4875.0,1405.0,3470.0,0.9,0.5,1.2,14360.0,4155.0,10205.0,0.8,0.5,1.1,4685.0,1870.0,2815.0,0.7,0.6,0.8,1235.0,350.0,890.0,1.3,0.8,1.8
Age characteristics,      95 to 99 years,,1960.0,540.0,1415.0,0.2,0.1,0.3,6400.0,1720.0,4675.0,0.2,0.1,0.3,1210.0,260.0,955.0,0.2,0.1,0.3,3375.0,825.0,2560.0,0.2,0.1,0.3,1350.0,410.0,935.0,0.2,0.1,0.3,355.0,80.0,275.0,0.4,0.2,0.6
Age characteristics,      100 years and over,,275.0,55.0,220.0,0.0,0.0,0.0,875.0,195.0,680.0,0.0,0.0,0.0,155.0,20.0,135.0,0.0,0.0,0.0,465.0,90.0,375.0,0.0,0.0,0.0,235.0,50.0,185.0,0.0,0.0,0.1,45.0,10.0,40.0,0.0,0.0,0.1
Age characteristics,Total - Distribution (%) of the population by broad age groups - 100% data,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Age characteristics,  0 to 14 years,,16.4,17.1,15.7,16.4,17.1,15.7,13.8,14.6,12.9,13.8,14.6,12.9,14.7,15.5,14.1,14.7,15.5,14.1,15.3,15.9,14.8,15.3,15.9,14.8,10.7,11.3,10.1,10.7,11.3,10.1,9.2,9.7,8.7,9.2,9.7,8.7
Age characteristics,  15 to 64 years,,66.7,67.2,66.1,66.7,67.2,66.1,69.2,70.0,68.4,69.2,70.0,68.4,62.5,64.5,60.6,62.5,64.5,60.6,67.9,69.5,66.4,67.9,69.5,66.4,72.3,72.8,71.8,72.3,72.8,71.8,67.6,69.5,65.8,67.6,69.5,65.8
Age characteristics,  65 years and over,,16.9,15.7,18.1,16.9,15.7,18.1,17.1,15.4,18.6,17.1,15.4,18.6,22.8,20.1,25.3,22.8,20.1,25.3,16.8,14.6,18.9,16.8,14.6,18.9,17.0,15.9,18.1,17.0,15.9,18.1,23.2,20.8,25.4,23.2,20.8,25.4
Age characteristics,    85 years and over,,2.2,1.7,2.7,2.2,1.7,2.7,2.6,2.0,3.1,2.6,2.0,3.1,2.9,1.9,3.9,2.9,1.9,3.9,2.6,1.8,3.4,2.6,1.8,3.4,2.4,2.0,2.8,2.4,2.0,2.8,3.6,2.4,4.7,3.6,2.4,4.7
Age characteristics,Average age of the population,,40.7,39.8,41.5,40.7,39.8,41.5,41.5,40.3,42.6,41.5,40.3,42.6,43.8,42.3,45.1,43.8,42.3,45.1,40.6,39.5,41.7,40.6,39.5,41.7,42.2,41.5,43.0,42.2,41.5,43.0,45.2,44.0,46.3,45.2,44.0,46.3
Age characteristics,Median age of the population,,40.0,38.8,40.8,40.0,38.8,40.8,39.6,38.4,41.2,39.6,38.4,41.2,43.2,41.6,44.8,43.2,41.6,44.8,38.8,38.0,39.6,38.8,38.0,39.6,39.6,38.8,40.4,39.6,38.8,40.4,42.8,41.6,44.0,42.8,41.6,44.0
Household and dwelling characteristics,Total - Occupied private dwellings by structural type of dwelling - 100% data,,407250.0,,,100.0,,,1160890.0,,,100.0,,,265710.0,,,100.0,,,816340.0,,,100.0,,,305335.0,,,100.0,,,49225.0,,,100.0,,
Household and dwelling characteristics,  Single-detached house,,169760.0,,,41.7,,,270490.0,,,23.3,,,80885.0,,,30.4,,,58065.0,,,7.1,,,44750.0,,,14.7,,,6685.0,,,13.6,,
Household and dwelling characteristics,  Semi-detached house,,21675.0,,,5.3,,,71955.0,,,6.2,,,14020.0,,,5.3,,,25740.0,,,3.2,,,4800.0,,,1.6,,,1150.0,,,2.3,,
Household and dwelling characteristics,  Row house,,87045.0,,,21.4,,,62915.0,,,5.4,,,6945.0,,,2.6,,,26175.0,,,3.2,,,10815.0,,,3.5,,,2305.0,,,4.7,,
Household and dwelling characteristics,  Apartment or flat in a duplex,,7595.0,,,1.9,,,47810.0,,,4.1,,,17110.0,,,6.4,,,107565.0,,,13.2,,,54305.0,,,17.8,,,4450.0,,,9.0,,
Household and dwelling characteristics,  Apartment in a building that has fewer than five storeys,,43025.0,,,10.6,,,162245.0,,,14.0,,,120775.0,,,45.5,,,464420.0,,,56.9,,,95120.0,,,31.2,,,23510.0,,,47.8,,
Household and dwelling characteristics,  Apartment in a building that has five or more storeys,,76895.0,,,18.9,,,542625.0,,,46.7,,,23520.0,,,8.9,,,130615.0,,,16.0,,,94815.0,,,31.1,,,11000.0,,,22.3,,
Household and dwelling characteristics,  Other single-attached house,,460.0,,,0.1,,,2770.0,,,0.2,,,1080.0,,,0.4,,,3350.0,,,0.4,,,695.0,,,0.2,,,80.0,,,0.2,,
Household and dwelling characteristics,  Movable dwelling,4.0,795.0,,,0.2,,,85.0,,,0.0,,,1380.0,,,0.5,,,415.0,,,0.1,,,20.0,,,0.0,,,35.0,,,0.1,,
Household and dwelling characteristics,Total - Private households by household size - 100% data,,407255.0,,,100.0,,,1160895.0,,,100.0,,,265710.0,,,100.0,,,816335.0,,,100.0,,,305335.0,,,100.0,,,49225.0,,,100.0,,
Household and dwelling characteristics,  1 person,,116370.0,,,28.6,,,385765.0,,,33.2,,,110300.0,,,41.5,,,341345.0,,,41.8,,,119805.0,,,39.2,,,24100.0,,,49.0,,
Household and dwelling characteristics,  2 persons,,135365.0,,,33.2,,,353415.0,,,30.4,,,92215.0,,,34.7,,,242175.0,,,29.7,,,100730.0,,,33.0,,,17060.0,,,34.7,,
Household and dwelling characteristics,  3 persons,,61740.0,,,15.2,,,178225.0,,,15.4,,,28440.0,,,10.7,,,103550.0,,,12.7,,,38600.0,,,12.6,,,4295.0,,,8.7,,
Household and dwelling characteristics,  4 persons,,59175.0,,,14.5,,,147360.0,,,12.7,,,24375.0,,,9.2,,,82715.0,,,10.1,,,29140.0,,,9.5,,,2620.0,,,5.3,,
Household and dwelling characteristics,  5 or more persons,,34605.0,,,8.5,,,96120.0,,,8.3,,,10375.0,,,3.9,,,46560.0,,,5.7,,,17060.0,,,5.6,,,1145.0,,,2.3,,
Household and dwelling characteristics,Number of persons in private households,,1000935.0,489175.0,511760.0,100.0,100.0,100.0,2761285.0,1336430.0,1424855.0,100.0,100.0,100.0,533530.0,261755.0,271780.0,100.0,100.0,100.0,1723210.0,851575.0,871635.0,100.0,100.0,100.0,650380.0,317905.0,332475.0,100.0,100.0,100.0,87890.0,41820.0,46065.0,100.0,100.0,100.0
Household and dwelling characteristics,Average household size,,2.5,,,2.5,,,2.4,,,2.4,,,2.0,,,2.0,,,2.1,,,2.1,,,2.1,,,2.1,,,1.8,,,1.8,,
Marital status,Total - Marital status for the total population aged 15 years and over - 100% data,,850525.0,411225.0,439305.0,100.0,100.0,100.0,2410060.0,1153470.0,1256590.0,100.0,100.0,100.0,468435.0,226230.0,242205.0,100.0,100.0,100.0,1492520.0,729715.0,762810.0,100.0,100.0,100.0,591675.0,287980.0,303700.0,100.0,100.0,100.0,83415.0,39340.0,44075.0,100.0,100.0,100.0
Marital status,  Married or living common-law,,474220.0,237030.0,237195.0,55.8,57.6,54.0,1213410.0,610400.0,603015.0,50.3,52.9,48.0,253785.0,127125.0,126655.0,54.2,56.2,52.3,705905.0,356290.0,349615.0,47.3,48.8,45.8,298085.0,149430.0,148660.0,50.4,51.9,48.9,38580.0,19280.0,19305.0,46.3,49.0,43.8
Marital status,    Married,,390555.0,194930.0,195630.0,45.9,47.4,44.5,1020980.0,511485.0,509505.0,42.4,44.3,40.5,126990.0,63505.0,63490.0,27.1,28.1,26.2,475835.0,239100.0,236735.0,31.9,32.8,31.0,230735.0,114860.0,115875.0,39.0,39.9,38.2,26155.0,13060.0,13095.0,31.4,33.2,29.7
Marital status,    Living common-law,,83660.0,42100.0,41565.0,9.8,10.2,9.5,192430.0,98920.0,93510.0,8.0,8.6,7.4,126790.0,63625.0,63170.0,27.1,28.1,26.1,230070.0,117190.0,112880.0,15.4,16.1,14.8,67350.0,34570.0,32780.0,11.4,12.0,10.8,12425.0,6215.0,6205.0,14.9,15.8,14.1
Marital status,      Living common law - Never married,,63475.0,31825.0,31650.0,7.5,7.7,7.2,155085.0,79230.0,75855.0,6.4,6.9,6.0,105435.0,52560.0,52875.0,22.5,23.2,21.8,196170.0,99370.0,96795.0,13.1,13.6,12.7,57990.0,29630.0,28355.0,9.8,10.3,9.3,10080.0,5020.0,5055.0,12.1,12.8,11.5
Marital status,      Living common law - Separated,,3270.0,1850.0,1420.0,0.4,0.4,0.3,5745.0,3350.0,2400.0,0.2,0.3,0.2,1030.0,540.0,495.0,0.2,0.2,0.2,2885.0,1655.0,1230.0,0.2,0.2,0.2,1120.0,650.0,465.0,0.2,0.2,0.2,270.0,150.0,120.0,0.3,0.4,0.3
Marital status,      Living common law - Divorced,,15380.0,7720.0,7665.0,1.8,1.9,1.7,29020.0,15200.0,13825.0,1.2,1.3,1.1,18100.0,9535.0,8565.0,3.9,4.2,3.5,28550.0,15015.0,13530.0,1.9,2.1,1.8,7740.0,4060.0,3675.0,1.3,1.4,1.2,1945.0,995.0,955.0,2.3,2.5,2.2
Marital status,      Living common law - Widowed,,1535.0,705.0,835.0,0.2,0.2,0.2,2580.0,1145.0,1440.0,0.1,0.1,0.1,2235.0,995.0,1235.0,0.5,0.4,0.5,2465.0,1140.0,1320.0,0.2,0.2,0.2,500.0,225.0,280.0,0.1,0.1,0.1,125.0,50.0,75.0,0.1,0.1,0.2
Marital status,  Not married and not living common-law,,376305.0,174200.0,202110.0,44.2,42.4,46.0,1196645.0,543075.0,653575.0,49.7,47.1,52.0,214645.0,99105.0,115545.0,45.8,43.8,47.7,786615.0,373420.0,413195.0,52.7,51.2,54.2,293585.0,138550.0,155040.0,49.6,48.1,51.1,44835.0,20060.0,24770.0,53.7,51.0,56.2
Marital status,    Not married and not living common law - Never married,,265265.0,139265.0,126000.0,31.2,33.9,28.7,853580.0,437820.0,415760.0,35.4,38.0,33.1,151010.0,79050.0,71960.0,32.2,34.9,29.7,572045.0,304055.0,267990.0,38.3,41.7,35.1,218140.0,113810.0,104325.0,36.9,39.5,34.4,29280.0,14960.0,14320.0,35.1,38.0,32.5
Marital status,    Not married and not living common law - Separated,,22900.0,9375.0,13525.0,2.7,2.3,3.1,67320.0,27225.0,40095.0,2.8,2.4,3.2,6010.0,2685.0,3320.0,1.3,1.2,1.4,31535.0,13590.0,17945.0,2.1,1.9,2.4,13790.0,5870.0,7920.0,2.3,2.0,2.6,2400.0,1000.0,1395.0,2.9,2.5,3.2
Marital status,    Not married and not living common law - Divorced,,48880.0,17340.0,31545.0,5.7,4.2,7.2,154535.0,55725.0,98805.0,6.4,4.8,7.9,32865.0,11895.0,20970.0,7.0,5.3,8.7,113315.0,41760.0,71560.0,7.6,5.7,9.4,37675.0,14270.0,23400.0,6.4,5.0,7.7,8670.0,3180.0,5495.0,10.4,8.1,12.5
Marital status,    Not married and not living common law - Widowed,,39265.0,8220.0,31045.0,4.6,2.0,7.1,121210.0,22300.0,98910.0,5.0,1.9,7.9,24765.0,5470.0,19295.0,5.3,2.4,8.0,69720.0,14020.0,55700.0,4.7,1.9,7.3,23985.0,4595.0,19390.0,4.1,1.6,6.4,4485.0,925.0,3560.0,5.4,2.4,8.1
Family characteristics,Total - Census families in private households by family size - 100% data,5.0,275395.0,,,100.0,,,733225.0,,,100.0,,,145765.0,,,100.0,,,428615.0,,,100.0,,,168660.0,,,100.0,,,21760.0,,,100.0,,
Family characteristics,  2 persons,,135105.0,,,49.1,,,362160.0,,,49.4,,,86680.0,,,59.5,,,221015.0,,,51.6,,,96975.0,,,57.5,,,15225.0,,,70.0,,
Family characteristics,  3 persons,,57890.0,,,21.0,,,174070.0,,,23.7,,,26320.0,,,18.1,,,92715.0,,,21.6,,,35905.0,,,21.3,,,3545.0,,,16.3,,
Family characteristics,  4 persons,,56630.0,,,20.6,,,141635.0,,,19.3,,,23555.0,,,16.2,,,77780.0,,,18.1,,,28165.0,,,16.7,,,2340.0,,,10.8,,
Family characteristics,  5 or more persons,,25765.0,,,9.4,,,55360.0,,,7.6,,,9215.0,,,6.3,,,37105.0,,,8.7,,,7615.0,,,4.5,,,650.0,,,3.0,,
Family characteristics,Average size of census families,,2.9,,,2.9,,,2.9,,,2.9,,,2.7,,,2.7,,,2.9,,,2.9,,,2.7,,,2.7,,,2.5,,,2.5,,
Family characteristics,Average number of children in census families with children,6.0,1.8,,,1.8,,,1.7,,,1.7,,,1.7,,,1.7,,,1.8,,,1.8,,,1.6,,,1.6,,,1.5,,,1.5,,
Family characteristics,Total number of census families in private households - 100% data,,275395.0,,,100.0,,,733220.0,,,100.0,,,145770.0,,,100.0,,,428610.0,,,100.0,,,168660.0,,,100.0,,,21760.0,,,100.0,,
Family characteristics,  Total couple families,,231060.0,,,83.9,,,580590.0,,,79.2,,,124015.0,,,85.1,,,338830.0,,,79.1,,,142595.0,,,84.5,,,18540.0,,,85.2,,
Family characteristics,    Married couples,,189255.0,,,68.7,,,484435.0,,,66.1,,,60675.0,,,41.6,,,223910.0,,,52.2,,,108925.0,,,64.6,,,12330.0,,,56.7,,
Family characteristics,      With children,6.0,108720.0,,,39.5,,,288375.0,,,39.3,,,22995.0,,,15.8,,,133435.0,,,31.1,,,58130.0,,,34.5,,,4670.0,,,21.5,,
Family characteristics,      Without children,,80535.0,,,29.2,,,196060.0,,,26.7,,,37675.0,,,25.8,,,90475.0,,,21.1,,,50790.0,,,30.1,,,7670.0,,,35.2,,
Family characteristics,    Common-law couples,,41805.0,,,15.2,,,96155.0,,,13.1,,,63340.0,,,43.5,,,114915.0,,,26.8,,,33675.0,,,20.0,,,6205.0,,,28.5,,
Family characteristics,      With children,6.0,12885.0,,,4.7,,,24805.0,,,3.4,,,27815.0,,,19.1,,,41490.0,,,9.7,,,5370.0,,,3.2,,,980.0,,,4.5,,
Family characteristics,      Without children,,28920.0,,,10.5,,,71350.0,,,9.7,,,35530.0,,,24.4,,,73430.0,,,17.1,,,28305.0,,,16.8,,,5225.0,,,24.0,,
Family characteristics,  Total one-parent families,,44335.0,,,16.1,,,152635.0,,,20.8,,,21750.0,,,14.9,,,89785.0,,,20.9,,,26060.0,,,15.5,,,3225.0,,,14.8,,
Family characteristics,    in which the parent is a woman+,,35065.0,,,12.7,,,127560.0,,,17.4,,,15725.0,,,10.8,,,72595.0,,,16.9,,,21285.0,,,12.6,,,2585.0,,,11.9,,
Family characteristics,    in which the parent is a man+,,9270.0,,,3.4,,,25075.0,,,3.4,,,6025.0,,,4.1,,,17190.0,,,4.0,,,4780.0,,,2.8,,,640.0,,,2.9,,
Family characteristics,Total - Persons in private households - 100% data,,1000935.0,489175.0,511760.0,100.0,100.0,100.0,2761290.0,1336430.0,1424855.0,100.0,100.0,100.0,533535.0,261755.0,271775.0,100.0,100.0,100.0,1723210.0,851575.0,871630.0,100.0,100.0,100.0,650380.0,317905.0,332470.0,100.0,100.0,100.0,87890.0,41825.0,46065.0,100.0,100.0,100.0
Family characteristics,  Total - Persons in census families,,809960.0,399195.0,410760.0,80.9,81.6,80.3,2108975.0,1030460.0,1078515.0,76.4,77.1,75.7,395570.0,196405.0,199165.0,74.1,75.0,73.3,1231380.0,602840.0,628545.0,71.5,70.8,72.1,454055.0,224315.0,229740.0,69.8,70.6,69.1,53900.0,26230.0,27670.0,61.3,62.7,60.1
Family characteristics,    Married spouses or common-law partners,,462120.0,231290.0,230835.0,46.2,47.3,45.1,1161175.0,584390.0,576785.0,42.1,43.7,40.5,248030.0,124315.0,123720.0,46.5,47.5,45.5,677655.0,341670.0,335985.0,39.3,40.1,38.5,285190.0,143975.0,141215.0,43.8,45.3,42.5,37075.0,18550.0,18530.0,42.2,44.4,40.2
Family characteristics,    Parents in one-parent families,,44335.0,9270.0,35065.0,4.4,1.9,6.9,152635.0,25075.0,127560.0,5.5,1.9,9.0,21750.0,6020.0,15730.0,4.1,2.3,5.8,89785.0,17190.0,72595.0,5.2,2.0,8.3,26065.0,4780.0,21280.0,4.0,1.5,6.4,3225.0,640.0,2585.0,3.7,1.5,5.6
Family characteristics,    Children,6.0,303505.0,158645.0,144860.0,30.3,32.4,28.3,795165.0,420995.0,374170.0,28.8,31.5,26.3,125785.0,66070.0,59715.0,23.6,25.2,22.0,463940.0,243975.0,219965.0,26.9,28.6,25.2,142800.0,75560.0,67245.0,22.0,23.8,20.2,13610.0,7045.0,6560.0,15.5,16.8,14.2
Family characteristics,      In a two-parent family,,231930.0,120770.0,111160.0,23.2,24.7,21.7,560345.0,295780.0,264560.0,20.3,22.1,18.6,93620.0,48735.0,44890.0,17.5,18.6,16.5,329670.0,172390.0,157285.0,19.1,20.2,18.0,106565.0,56110.0,50460.0,16.4,17.6,15.2,9275.0,4740.0,4540.0,10.6,11.3,9.9
Family characteristics,      In a one-parent family,,71570.0,37870.0,33700.0,7.2,7.7,6.6,234820.0,125210.0,109615.0,8.5,9.4,7.7,32165.0,17335.0,14830.0,6.0,6.6,5.5,134270.0,71585.0,62680.0,7.8,8.4,7.2,36235.0,19450.0,16780.0,5.6,6.1,5.0,4330.0,2310.0,2025.0,4.9,5.5,4.4
